name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
חורף באוטו,60,1,251931,False,2021-12-31T09:57:47Z,Omer Adam,899597,64,"['israeli mediterranean', 'israeli pop', 'mizrahi']",pop,חורף באוטו,2021-10-31,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
היי בייב,55,4,187901,False,2021-12-31T09:57:47Z,Tuna,181096,60,"['israeli hip hop', 'israeli pop']",hip,מזרח פרוע,2021-12-17,13,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
INDUSTRY BABY (feat. Jack Harlow),90,3,212352,True,2021-12-31T09:57:47Z,Lil Nas X,8559267,91,"['lgbtq+ hip hop', 'pop']",hip,MONTERO,2021-09-17,15,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Pepas,85,3,287120,True,2021-12-31T09:57:47Z,Farruko,11729469,91,"['latin', 'reggaeton', 'trap latino']",world,La 167,2021-10-01,25,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
love nwantiti (ah ah ah),94,2,145800,True,2021-12-31T09:57:47Z,CKay,349942,85,['afro r&b'],soul,CKay The First,2019-08-30,8,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
רעשים,54,1,220848,False,2021-12-31T09:57:47Z,Osher Cohen,72295,53,['israeli mediterranean'],other,רעשים,2021-12-14,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
abcdefu,99,1,168601,True,2021-12-31T09:57:47Z,GAYLE,165554,85,[],other,abcdefu,2021-08-13,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
חצי דפוק,61,1,177874,False,2021-12-31T09:57:47Z,Omer Adam,899597,64,"['israeli mediterranean', 'israeli pop', 'mizrahi']",pop,3,2021-08-03,3,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Easy On Me,91,2,224694,False,2021-12-31T09:57:47Z,Adele,32556772,96,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,30,2021-11-19,12,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
באתי להציל אותך,58,1,187352,False,2021-12-31T09:57:47Z,Agam Buhbut,133298,49,['israeli mediterranean'],other,באתי להציל אותך,2021-10-26,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Bad Habits,95,4,230746,False,2021-12-31T09:57:47Z,Ed Sheeran,90123623,97,"['pop', 'uk pop']",pop,=,2021-10-29,14,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Shivers,95,2,207853,False,2021-12-31T09:57:47Z,Ed Sheeran,90123623,97,"['pop', 'uk pop']",pop,=,2021-10-29,14,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Cold Heart - PNAU Remix,85,1,202735,False,2021-12-31T09:57:47Z,Elton John,8438832,91,"['glam rock', 'mellow gold', 'piano rock']",rock,The Lockdown Sessions,2021-10-22,16,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
פילטרים יפים,56,1,182578,False,2021-12-31T09:57:47Z,Eden Ben Zaken,405247,56,"['israeli mediterranean', 'israeli pop']",pop,פילטרים יפים,2021-12-04,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
ביחד,51,8,151968,False,2021-12-31T09:57:47Z,Marina Maximilian,77380,50,['israeli pop'],pop,ביחד,2021-08-23,10,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
אם הייתי צריכה,53,1,204255,False,2021-12-31T09:57:47Z,Odeya,6892,47,['israeli pop'],pop,אם הייתי צריכה,2021-11-25,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
בית משוגעים,58,1,169848,False,2021-12-31T09:57:47Z,Ran Danker,32698,51,"['festigal', 'israeli pop']",pop,בית משוגעים,2021-03-03,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
Woman,95,1,172626,True,2021-12-31T09:57:47Z,Doja Cat,13848497,95,"['dance pop', 'pop']",pop,Planet Her,2021-06-25,14,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
יחפים,54,1,196480,False,2021-12-31T09:57:47Z,Jasmin Moallem,30069,52,['israeli pop'],pop,יחפים,2021-12-06,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
סחרחורת & בדד,58,1,361978,False,2021-12-31T09:57:47Z,Omer Adam,899597,64,"['israeli mediterranean', 'israeli pop', 'mizrahi']",pop,סחרחורת & בדד,2021-09-19,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
מגבת באוויר,40,17,171200,False,2021-12-31T09:57:47Z,NOROZ,13300,47,"['israeli hip hop', 'israeli trap']",hip,מרגיש מוגזם,2021-12-12,17,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
רסיסים,57,1,201190,False,2021-12-31T09:57:47Z,Raviv Kaner,59489,49,['israeli pop'],pop,רסיסים,2020-01-01,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
סיבת הסיבות,58,1,199710,False,2021-12-31T09:57:47Z,Ishay Ribo,408175,57,['israeli pop'],pop,סיבת הסיבות,2021-02-24,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
מדליקה לי הכל,45,14,204520,False,2021-12-31T09:57:47Z,Eden Hason,402870,61,['israeli mediterranean'],other,אלבום 2,2021-12-01,14,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
שבוע טוב,57,1,151442,False,2021-12-31T09:57:47Z,Avraham Tal,172291,51,['israeli pop'],pop,שבוע טוב,2020-04-15,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
אני כבר לא בך,50,1,177692,False,2021-12-31T09:57:47Z,Itay Levi,370660,56,"['israeli mediterranean', 'mizrahi']",other,אני כבר לא בך,2021-12-19,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
הטעות הכי יפה,57,1,161485,False,2021-12-31T09:57:47Z,Itay Levi,370660,56,"['israeli mediterranean', 'mizrahi']",other,הטעות הכי יפה,2021-05-25,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
מה פספסתי,52,1,139875,False,2021-12-31T09:57:47Z,Eden Hason,402870,61,['israeli mediterranean'],other,מה פספסתי,2021-12-09,1,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
לא להיות לבד,37,2,180000,False,2021-12-31T09:57:47Z,Mergui,114463,51,['israeli pop'],pop,לא להיות לבד,2021-10-22,7,spotify_top_50_weekly,3955,Njk0MjU5ODY3LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=
