genre,count,main_genre
yemeni pop,18,
progressive bluegrass,18,
dmv rap,18,
swamp pop,18,
detroit house,18,
russian dance,18,
wassoulou,18,
american modern classical,18,
traditional folk,18,
vancouver indie,18,
swedish electronic,18,
minimal dub,18,
coverchill,18,
vapor trap,18,
ambient techno,18,
livetronica,17,
mbalax,17,
brazilian edm,17,
swedish americana,17,
trap argentino,17,
ambient psychill,17,
desi hip hop,17,
brighton indie,17,
modern reggae,17,
japanese jazz,17,
modern jazz piano,17,
grave wave,17,
french shoegaze,17,
acid techno,17,
modern jazz trio,17,
musica para ninos,17,
swedish house,17,
dark post-punk,17,
texas metal,17,
library music,17,
canadian psychedelic rock,17,
salsa international,17,
experimental folk,17,
funk carioca,17,
portland indie,17,
rumba congolaise,17,
appalachian folk,16,
full on,16,
impressionism,16,
oklahoma country,16,
high vibe,16,
drift phonk,16,
atlanta indie,16,
neue deutsche welle,16,
moog,16,
jazz vibraphone,16,
latin afrobeat,16,
nottingham indie,16,
british experimental,16,
norwegian singer-songwriter,16,
dream trance,16,
scottish electronic,16,
japanese instrumental,16,
jazz harp,16,
south african alternative,16,
power metal,16,
classic schlager,16,
minnesota hip hop,16,
organic ambient,16,
instrumental stoner rock,16,
pianissimo,16,
dub techno,16,
deep tech house,16,
latintronica,16,
moombahton,16,
edmonton indie,16,
belgian edm,16,
dark synthpop,16,
nz singer-songwriter,15,
new orleans soul,15,
manguebeat,15,
nz folk,15,
classical performance,15,
new age piano,15,
japanese psychedelic,15,
nyc pop,15,
western saharan folk,15,
canadian electropop,15,
vapor twitch,15,
australian alternative rock,15,
swedish singer-songwriter,15,
anime score,15,
south african jazz,15,
glam punk,15,
russian rock,15,
future bass,15,
canadian country,15,
vocal harmony group,15,
brass band,15,
modern hard rock,15,
gospel,15,
french reggae,15,
otacore,15,
folk punk,15,
gaming edm,15,
el paso indie,15,
finnish edm,15,
transpop,15,
mod revival,15,
timba,15,
rebel blues,15,
latin tech house,15,
hauntology,14,
ranchera,14,
k-rap,14,
chicha,14,
modern alternative pop,14,
italian baroque,14,
schlager,14,
argentine hip hop,14,
deep progressive house,14,
jazz trio,14,
swedish indie folk,14,
chicano rap,14,
darksynth,14,
pet calming,14,
argentine indie,14,
uk tech house,14,
cali rap,14,
nueva musica mexicana,14,
classify,14,
experimental techno,14,
spytrack,14,
jazz flute,14,
progressive breaks,14,
mexican indie,14,
highlife,14,
cumbia,14,
sound effects,14,
albuquerque indie,14,
japanese electronic,14,
sertanejo,14,
portuguese pop,14,
